"language","item.id","Rhat_k","Rhat_l","Rhat_s","Rhat_delta"
"Cantonese","item_100",4.50227451807718,1.45242612921579,NA,1.66629053105447
"Cantonese","item_101",1.01975052217691,1.01712762705042,NA,1.0144418934856
"Cantonese","item_102",2.2977590011826,1.59280036629666,NA,1.49329852294901
"Cantonese","item_103",1.04414755622592,1.0412687226667,NA,1.04840111687345
"Cantonese","item_104",1.24389222373177,1.15579666124457,NA,1.15755135289237
"Cantonese","item_105",1.01475386680869,1.01267129593614,NA,1.01164842383671
"Cantonese","item_106",1.12534127839144,1.08747184118425,NA,1.11228186526588
"Cantonese","item_107",1.03444457946602,1.07343611036691,NA,1.0744307133553
"Cantonese","item_108",1.04577089178078,1.01647931332007,NA,1.02686051503249
"Cantonese","item_109",3.09842683540049,1.5306256798563,NA,1.58902936320177
"Cantonese","item_10",1.00473174009226,1.00405368838987,NA,1.00204983837874
"Cantonese","item_110",1.05024005068634,1.01012268833137,NA,1.01129944533428
"Cantonese","item_111",1.09599419060854,1.13670853844283,NA,1.12989414896381
"Cantonese","item_112",1.03794335540311,1.0710285889211,NA,1.07524593492474
"Cantonese","item_113",1.13735365823153,1.08660092436502,NA,1.08882738393498
"Cantonese","item_114",1.23001787506226,1.3300243195252,NA,1.27869599858264
"Cantonese","item_115",1.14914530963255,1.05502713159196,NA,1.06175083990229
"Cantonese","item_116",1.01584193677551,1.00371520587782,NA,1.00335416406655
"Cantonese","item_117",1.0106531152107,1.00732483139829,NA,1.00627957961437
"Cantonese","item_118",1.02691992201783,1.0169586883951,NA,1.01324764285593
"Cantonese","item_119",1.06941758250375,1.03085888964105,NA,1.03407595979568
"Cantonese","item_11",1.17206588845197,1.27919882045035,NA,1.18199548381281
"Cantonese","item_120",1.57703220210208,1.92485169195204,NA,1.84778705165386
"Cantonese","item_121",1.02427649974086,1.02905294187628,NA,1.03626277716624
"Cantonese","item_122",1.00961319715224,1.00290285250202,NA,1.00205145648267
"Cantonese","item_123",1.07408991551878,1.0532551622015,NA,1.05442505257173
"Cantonese","item_124",1.31934847338655,1.22153138149816,NA,1.20183097597804
"Cantonese","item_125",1.09142653401694,1.04744854805619,NA,1.05271417956866
"Cantonese","item_126",1.7952831203845,1.43436175995993,NA,1.34615845631559
"Cantonese","item_127",1.08687441242621,1.06280335126866,NA,1.07047356693483
"Cantonese","item_128",1.00862028852051,1.0009476431378,NA,1.00029972516793
"Cantonese","item_129",1.04429571188744,1.04812418872984,NA,1.07261492315391
"Cantonese","item_12",1.00969250911751,1.0027710456222,NA,1.00086357024502
"Cantonese","item_130",1.02963367513484,1.03216540095589,NA,1.0309855692525
"Cantonese","item_131",1.01646798765048,1.01495105891521,NA,1.0193169328755
"Cantonese","item_132",1.57363062108447,1.32275618084826,NA,1.32700920380365
"Cantonese","item_133",1.19817744809224,1.15355591159812,NA,1.15220543633569
"Cantonese","item_134",1.01281796908552,1.00390162984851,NA,1.00485745285273
"Cantonese","item_135",1.22579593492894,1.14941263504122,NA,1.1312537836644
"Cantonese","item_136",1.06613167277111,1.11396830074532,NA,1.10708645515537
"Cantonese","item_137",1.10755750064209,1.08990762386998,NA,1.07109772234688
"Cantonese","item_138",1.16415408445904,1.02477158047648,NA,1.02653523736933
"Cantonese","item_139",1.01557585640826,1.00259160708907,NA,1.00283900962201
"Cantonese","item_13",1.02145052283324,1.00295330661493,NA,1.0015748982792
"Cantonese","item_140",1.09394962450145,1.13972767332441,NA,1.11966251433903
"Cantonese","item_141",1.03992380793067,1.13132199965659,NA,1.14357712780306
"Cantonese","item_142",1.0593544801745,1.05467730093735,NA,1.04823092889276
"Cantonese","item_143",1.21805026158064,1.40565516741966,NA,1.35071632582164
"Cantonese","item_144",1.04048817475012,1.00768148279587,NA,1.00845847087043
"Cantonese","item_145",2.62123919491154,1.47673588434956,NA,1.58199809695515
"Cantonese","item_146",1.11435524626942,1.17715460094299,NA,1.16146730709738
"Cantonese","item_147",1.15368144373426,1.08923904313463,NA,1.10027360865497
"Cantonese","item_148",1.23060038433259,1.20204480787843,NA,1.17871698993686
"Cantonese","item_149",1.20955300551242,1.41351129138238,NA,1.3847727265076
"Cantonese","item_14",1.00426702700055,1.0041426883245,NA,1.00620714125402
"Cantonese","item_150",2.72465219615518,1.37666110312759,NA,1.60326064803668
"Cantonese","item_151",1.05728396412331,1.09953561077054,NA,1.0932369269689
"Cantonese","item_152",2.79417982833842,1.40796720933539,NA,1.5271509616391
"Cantonese","item_153",3.18201646362776,1.46633895821924,NA,1.62632760010347
"Cantonese","item_154",1.01893398199557,1.08104836243138,NA,1.08446684610249
"Cantonese","item_155",1.01107241754577,1.00765628836819,NA,1.00844902941398
"Cantonese","item_156",1.00908156790514,1.00401805978927,NA,1.00611477265162
"Cantonese","item_157",1.12886013235366,1.09309290175327,NA,1.10195563028271
