"language","item.id","delta_Mean","k_Mean","lambda_Mean","delta_HDIlow","k_HDIlow","lambda_HDIlow","delta_HDIhigh","k_HDIhigh","lambda_HDIhigh","category","item"
"Cantonese","item_1",1.6464234846,2.0768757992,18.54172853462,0.508,0.202086,0.105676,3.23262,5.69591,36.6502,"sounds","S1BOM"
"Cantonese","item_10",1.9097401534,4.3740154558,17.32773474806,0.635834,0.541845,0.0988058,3.72261,10.8874,34.1931,"sounds","S1SHEEP"
"Cantonese","item_100",1.4218208006,22.242029792,6.8750275828422,0.408259,1.07676,0.000247147,2.81314,68.8715,20.2301,"food_drink","E3TOFU"
"Cantonese","item_101",1.7124682088,11.979468404,7.6585516215,0.718476,1.32633,0.0492863,2.99844,29.0069,18.5216,"food_drink","E3PEANUT"
"Cantonese","item_102",1.4969408528,8.6503779828,10.652168910758,0.46705,0.573571,0.00250791,3.0217,23.2708,27.9902,"food_drink","E3FRUIT"
"Cantonese","item_103",1.7898979728,8.6328005742,7.3272455826,0.797974,1.08404,0.140524,2.96217,21.5069,16.0275,"food_drink","E3ORANGE"
"Cantonese","item_104",1.6139238564,9.1204331884,7.233611829632,0.561464,0.860838,0.00571716,2.82444,23.3889,17.7327,"food_drink","E3BANANA"
"Cantonese","item_105",1.7100690152,8.5831762872,7.85407222886,0.669604,0.813977,0.0665041,3.12573,21.8338,19.299,"food_drink","E3APPLE"
"Cantonese","item_106",1.6660893638,10.355561701,7.400484731998,0.636145,1.02615,0.00309884,3.24363,24.7373,20.0436,"food_drink","E3GRAPEC"
"Cantonese","item_107",1.5365161946,10.931324336,6.47584910184,0.766235,1.75247,0.0877298,2.59584,24.4721,16.3172,"food_drink","E3WATMEL"
"Cantonese","item_108",1.7682303698,8.57304298,10.79666191978,0.585037,0.918942,0.0225,3.10453,22.932,23.9346,"food_drink","E3PEAR"
"Cantonese","item_109",1.6254623748,21.615675116,7.6772715250782,0.462312,1.22906,0.000560849,3.35483,62.5104,21.7313,"food_drink","E3MANGO"
"Cantonese","item_11",1.5435504328,4.1623282352,14.738465473262,0.480345,0.34571,0.00505629,3.09028,10.3301,34.5516,"sounds","S1DUCKC"
"Cantonese","item_110",1.5871365112,12.333016438,5.53419297714,0.695466,1.10142,0.0110357,2.70872,32.0091,13.9456,"food_drink","E3CANDY"
"Cantonese","item_111",1.8172699996,12.2157687216,7.32551600426,0.854933,1.62353,0.13666,3.28239,28.7603,18.0422,"food_drink","E3CHOCOC"
"Cantonese","item_112",1.8243977138,10.754126292,7.3911712177,0.848439,1.35222,0.147044,3.19986,25.9541,17.1884,"food_drink","E3ICECRC"
"Cantonese","item_113",1.691632911,11.4202027502,7.75584513458,0.701685,1.51619,0.054508,2.96488,27.3986,18.9934,"food_drink","E3JELLYC"
"Cantonese","item_114",1.8927112136,10.5404098852,10.45259235128,0.748028,1.70468,0.179199,3.56267,23.9766,24.5817,"food_drink","E3SOYSAC"
"Cantonese","item_115",1.640556128,8.512571262,9.825993098694,0.641352,1.3776,0.00618047,2.78171,21.4001,21.5599,"food_drink","E3SAUCE"
"Cantonese","item_116",2.0344570952,6.6020352608,16.12418933606,0.691133,0.87897,0.0321819,3.88241,16.6595,32.4502,"food_drink","E3ONION"
"Cantonese","item_117",2.0894163666,9.7709984116,13.05833944786,0.726057,1.16051,0.0230373,3.91348,25.7159,27.5036,"food_drink","E3GINGER"
