"language","item.id","delta_Mean","k_Mean","lambda_Mean","start_Mean","delta_HDIlow","k_HDIlow","lambda_HDIlow","start_HDIlow","delta_HDIhigh","k_HDIhigh","lambda_HDIhigh","start_HDIhigh","category","item"
"Cantonese","item_2",1.618896477,2.49362261618,8.45322458122,5.7106990973126,0.543655,0.0491324,0.0433205,0.000287123,3.06135,8.0902,17.644,12.6274,"sounds","S1WEI"
"Cantonese","item_20",1.481587005,2.21284645826,7.834772422,6.5697987577544,0.507573,0.0369927,0.0433722,0.000312319,2.73834,7.08284,16.8496,13.7597,"people","P2ELDSIS"
"Cantonese","item_200",1.4971420486,6.9196943096,5.8687982605296,7.029084068116,0.540708,0.253892,0.000584029,0.00141106,2.63193,19.5075,13.4144,13.568,"action_words","V4WASH"
"Cantonese","item_201",1.3853969328,3.512831583,10.911648278364,15.500550358,0.372174,0.165985,0.00740702,5.49527,2.74674,12.6666,24.0293,18.9812,"action_words","V4HANGC"
"Cantonese","item_202",1.7120555604,5.0809775386,8.2187951936,7.5112946151534,0.596851,0.196898,0.0437271,0.026332,3.09811,15.5036,16.8841,14.409,"action_words","V4TIDYC"
"Cantonese","item_203",1.7097499464,4.9219051014,12.08767418006,6.8836934871178,0.521781,0.297995,0.0476807,0.0189599,3.25625,13.0131,25.255,13.7414,"action_words","V4PILUP2"
"Cantonese","item_204",1.7592711866,6.4608977232,8.84562198960538,8.074167840976,0.48779,0.213007,5.44549e-05,0.00921932,3.3751,18.2258,18.5578,15.271,"action_words","V4MOVE"
"Cantonese","item_205",1.4293901096,5.6393452204,6.91099234142,9.893738754304,0.508633,0.21155,0.00438845,1.35226,2.59316,17.6356,15.9528,16.3185,"action_words","V4RINSE"
"Cantonese","item_206",1.7570148416,4.4073645738,8.92061556274,8.530064428598,0.622515,0.145543,0.21492,0.431242,3.31569,12.6502,17.7733,15.8452,"action_words","V4SWEEP"
"Cantonese","item_207",1.5813284434,5.5436673258,6.9109960027,7.555326008306,0.600689,0.167205,0.044316,0.00360401,2.81115,16.3958,15.029,14.3032,"action_words","V4COMB"
"Cantonese","item_208",1.4643895106,5.2031331296,5.755604780006,10.010154601764,0.618086,0.200909,0.00377833,1.67501,2.61062,16.4612,12.5921,15.973,"action_words","V4BRUSH"
"Cantonese","item_209",1.3363040376,4.2191238958,5.355551512986,13.0276024588,0.511485,0.188374,0.00211856,4.36576,2.45262,14.2399,12.272,16.8005,"action_words","V4BUY"
