"PercentVar","SimulationNo","k_Mean","lambda_Mean","start_Mean","k_HDIlow","lambda_HDIlow","start_HDIlow","k_HDIhigh","lambda_HDIhigh","start_HDIhigh"
"Var_001","1000SummaryInfo.csv",10.467964314,0.512175242,3.82201726104,7.10913,0.420103,0.00568007,14.3711,0.608477,6.85609
"Var_001","100SummaryInfo.csv",7.559968792,0.4244615906,6.118265869974,5.0377,0.342986,2.70854,10.8181,0.512647,9.24691
"Var_001","101SummaryInfo.csv",8.205107426,0.4510273324,5.68889102404,5.36508,0.361123,1.99991,11.9225,0.549663,8.97824
"Var_001","102SummaryInfo.csv",10.445045792,0.495423272,3.3278540539432,7.23485,0.411005,0.0060722,13.7581,0.579896,6.33493
"Var_001","103SummaryInfo.csv",3.844761594,0.2730814668,10.180987804,2.85068,0.229889,8.42799,4.91224,0.313832,11.8663
"Var_001","104SummaryInfo.csv",9.211809252,0.47246345,4.826500602224,6.08866,0.381457,0.965562,13.2411,0.576286,8.21555
"Var_001","105SummaryInfo.csv",13.02864975,0.579851627,1.850354665603,9.82538,0.499789,0.000224517,15.5358,0.645284,4.51999
"Var_001","106SummaryInfo.csv",10.486207508,0.4919272588,3.0388871009804,7.39313,0.407759,0.000441357,13.6606,0.569164,6.06757
"Var_001","107SummaryInfo.csv",11.613848176,0.5269116124,2.328260867552,8.51828,0.450327,0.000466045,14.3228,0.598925,5.06906
"Var_001","108SummaryInfo.csv",10.585946616,0.4991733436,3.0165510410294,7.50933,0.41653,0.000771057,13.8353,0.579883,5.98874
"Var_001","109SummaryInfo.csv",11.494666664,0.5329965318,2.7312824361554,8.09895,0.442738,0.00938442,14.6668,0.612242,5.85532
"Var_001","10SummaryInfo.csv",10.659555676,0.5365181588,4.0589009789266,6.97698,0.437662,0.210946,14.7122,0.641616,7.24514
"Var_001","110SummaryInfo.csv",12.132901264,0.5615404848,2.212522608242,8.72772,0.474948,0.00156403,14.8095,0.631907,5.04053
"Var_001","111SummaryInfo.csv",11.50817864,0.5354524402,2.74309871628,8.16456,0.44976,0.0109441,14.6825,0.617391,5.70084
"Var_001","112SummaryInfo.csv",12.934543268,0.5644923344,1.16403401785912,10.5709,0.505726,0.000683096,14.6748,0.613998,3.11584
"Var_001","113SummaryInfo.csv",9.011857388,0.4506350948,4.344710077534,6.00558,0.368229,0.412189,12.7513,0.547023,7.64431
"Var_001","114SummaryInfo.csv",7.883737326,0.418263132,5.53228212794,5.1535,0.336128,1.75646,11.3775,0.510965,8.82326
"Var_001","115SummaryInfo.csv",10.670511876,0.5011096662,2.6540159606108,7.79226,0.422283,0.0071422,13.6786,0.575082,5.51418
"Var_001","116SummaryInfo.csv",6.916787094,0.4106532002,7.56969719012,4.80367,0.338172,4.44831,9.79095,0.497937,10.1092
"Var_001","117SummaryInfo.csv",12.065223838,0.564729937,2.7995278067862,8.74398,0.476415,0.000677351,15.5504,0.651198,5.718
"Var_001","118SummaryInfo.csv",11.735785898,0.5555633688,2.46435031404126,8.53139,0.471364,3.87963e-05,14.7076,0.633025,5.25181
"Var_001","119SummaryInfo.csv",10.908797904,0.5486629514,4.0412102032762,7.34519,0.446864,0.312781,15.2174,0.655721,7.31663
