"Simulation","age","yes","N"
"ExtSimulation_1",15,64,1000
"ExtSimulation_1",16,89,1000
"ExtSimulation_1",17,127,1000
"ExtSimulation_1",18,185,1000
"ExtSimulation_1",19,239,1000
"ExtSimulation_1",20,286,1000
"ExtSimulation_1",21,335,1000
"ExtSimulation_1",22,404,1000
"ExtSimulation_1",23,475,1000
"ExtSimulation_1",24,536,1000
"ExtSimulation_1",25,605,1000
"ExtSimulation_1",26,660,1000
"ExtSimulation_1",27,710,1000
"ExtSimulation_1",28,756,1000
"ExtSimulation_1",29,804,1000
"ExtSimulation_1",30,831,1000
"ExtSimulation_1",31,857,1000
"ExtSimulation_1",32,880,1000
"ExtSimulation_1",33,902,1000
"ExtSimulation_1",34,923,1000
"ExtSimulation_1",35,941,1000
"ExtSimulation_1",36,952,1000
"ExtSimulation_2",15,61,1000
"ExtSimulation_2",16,91,1000
"ExtSimulation_2",17,132,1000
"ExtSimulation_2",18,193,1000
"ExtSimulation_2",19,250,1000
"ExtSimulation_2",20,310,1000
"ExtSimulation_2",21,381,1000
"ExtSimulation_2",22,436,1000
"ExtSimulation_2",23,491,1000
"ExtSimulation_2",24,549,1000
"ExtSimulation_2",25,618,1000
"ExtSimulation_2",26,674,1000
"ExtSimulation_2",27,720,1000
"ExtSimulation_2",28,768,1000
"ExtSimulation_2",29,808,1000
"ExtSimulation_2",30,838,1000
"ExtSimulation_2",31,857,1000
"ExtSimulation_2",32,885,1000
"ExtSimulation_2",33,907,1000
"ExtSimulation_2",34,931,1000
"ExtSimulation_2",35,945,1000
"ExtSimulation_2",36,952,1000
"ExtSimulation_3",15,57,1000
"ExtSimulation_3",16,94,1000
"ExtSimulation_3",17,132,1000
"ExtSimulation_3",18,174,1000
"ExtSimulation_3",19,232,1000
"ExtSimulation_3",20,300,1000
"ExtSimulation_3",21,368,1000
"ExtSimulation_3",22,426,1000
"ExtSimulation_3",23,487,1000
"ExtSimulation_3",24,556,1000
"ExtSimulation_3",25,603,1000
"ExtSimulation_3",26,665,1000
"ExtSimulation_3",27,714,1000
"ExtSimulation_3",28,759,1000
"ExtSimulation_3",29,793,1000
"ExtSimulation_3",30,820,1000
"ExtSimulation_3",31,849,1000
"ExtSimulation_3",32,882,1000
"ExtSimulation_3",33,898,1000
"ExtSimulation_3",34,922,1000
"ExtSimulation_3",35,941,1000
"ExtSimulation_3",36,953,1000
"ExtSimulation_4",15,58,1000
"ExtSimulation_4",16,92,1000
"ExtSimulation_4",17,120,1000
