"Simulation","age","yes","N"
"ParSimulation_1",15,145,1000
"ParSimulation_1",16,192,1000
"ParSimulation_1",17,242,1000
"ParSimulation_1",18,292,1000
"ParSimulation_1",19,339,1000
"ParSimulation_1",20,376,1000
"ParSimulation_1",21,405,1000
"ParSimulation_1",22,446,1000
"ParSimulation_1",23,487,1000
"ParSimulation_1",24,527,1000
"ParSimulation_1",25,574,1000
"ParSimulation_1",26,605,1000
"ParSimulation_1",27,639,1000
"ParSimulation_1",28,662,1000
"ParSimulation_1",29,689,1000
"ParSimulation_1",30,711,1000
"ParSimulation_1",31,731,1000
"ParSimulation_1",32,743,1000
"ParSimulation_1",33,756,1000
"ParSimulation_1",34,771,1000
"ParSimulation_1",35,781,1000
"ParSimulation_1",36,791,1000
"ParSimulation_2",15,158,1000
"ParSimulation_2",16,194,1000
"ParSimulation_2",17,236,1000
"ParSimulation_2",18,278,1000
"ParSimulation_2",19,315,1000
"ParSimulation_2",20,356,1000
"ParSimulation_2",21,396,1000
"ParSimulation_2",22,440,1000
"ParSimulation_2",23,484,1000
"ParSimulation_2",24,521,1000
"ParSimulation_2",25,560,1000
"ParSimulation_2",26,589,1000
"ParSimulation_2",27,615,1000
"ParSimulation_2",28,638,1000
"ParSimulation_2",29,659,1000
"ParSimulation_2",30,683,1000
"ParSimulation_2",31,694,1000
"ParSimulation_2",32,718,1000
"ParSimulation_2",33,731,1000
"ParSimulation_2",34,744,1000
"ParSimulation_2",35,763,1000
"ParSimulation_2",36,778,1000
"ParSimulation_3",15,129,1000
"ParSimulation_3",16,176,1000
"ParSimulation_3",17,211,1000
"ParSimulation_3",18,250,1000
"ParSimulation_3",19,302,1000
"ParSimulation_3",20,355,1000
"ParSimulation_3",21,394,1000
"ParSimulation_3",22,438,1000
"ParSimulation_3",23,474,1000
"ParSimulation_3",24,507,1000
"ParSimulation_3",25,534,1000
"ParSimulation_3",26,564,1000
"ParSimulation_3",27,596,1000
"ParSimulation_3",28,628,1000
"ParSimulation_3",29,655,1000
"ParSimulation_3",30,670,1000
"ParSimulation_3",31,688,1000
"ParSimulation_3",32,708,1000
"ParSimulation_3",33,731,1000
"ParSimulation_3",34,752,1000
"ParSimulation_3",35,764,1000
"ParSimulation_3",36,774,1000
"ParSimulation_4",15,133,1000
"ParSimulation_4",16,187,1000
"ParSimulation_4",17,241,1000
"ParSimulation_4",18,280,1000
"ParSimulation_4",19,333,1000
"ParSimulation_4",20,378,1000
"ParSimulation_4",21,419,1000
"ParSimulation_4",22,452,1000
"ParSimulation_4",23,500,1000
"ParSimulation_4",24,525,1000
"ParSimulation_4",25,566,1000
"ParSimulation_4",26,610,1000
"ParSimulation_4",27,642,1000
"ParSimulation_4",28,667,1000
"ParSimulation_4",29,683,1000
"ParSimulation_4",30,704,1000
"ParSimulation_4",31,729,1000
"ParSimulation_4",32,748,1000
"ParSimulation_4",33,766,1000
"ParSimulation_4",34,782,1000
"ParSimulation_4",35,790,1000
"ParSimulation_4",36,805,1000
"ParSimulation_5",15,131,1000
"ParSimulation_5",16,172,1000
"ParSimulation_5",17,209,1000
"ParSimulation_5",18,252,1000
"ParSimulation_5",19,296,1000
"ParSimulation_5",20,342,1000
"ParSimulation_5",21,386,1000
"ParSimulation_5",22,434,1000
"ParSimulation_5",23,476,1000
"ParSimulation_5",24,508,1000
"ParSimulation_5",25,545,1000
"ParSimulation_5",26,575,1000
"ParSimulation_5",27,603,1000
"ParSimulation_5",28,630,1000
"ParSimulation_5",29,656,1000
"ParSimulation_5",30,686,1000
"ParSimulation_5",31,712,1000
"ParSimulation_5",32,732,1000
"ParSimulation_5",33,743,1000
"ParSimulation_5",34,753,1000
"ParSimulation_5",35,769,1000
"ParSimulation_5",36,783,1000
"ParSimulation_6",15,147,1000
"ParSimulation_6",16,198,1000
"ParSimulation_6",17,245,1000
"ParSimulation_6",18,304,1000
"ParSimulation_6",19,342,1000
"ParSimulation_6",20,381,1000
"ParSimulation_6",21,422,1000
"ParSimulation_6",22,458,1000
"ParSimulation_6",23,492,1000
"ParSimulation_6",24,523,1000
"ParSimulation_6",25,555,1000
"ParSimulation_6",26,582,1000
"ParSimulation_6",27,607,1000
"ParSimulation_6",28,632,1000
"ParSimulation_6",29,656,1000
"ParSimulation_6",30,676,1000
"ParSimulation_6",31,691,1000
"ParSimulation_6",32,711,1000
"ParSimulation_6",33,732,1000
"ParSimulation_6",34,748,1000
"ParSimulation_6",35,764,1000
"ParSimulation_6",36,776,1000
"ParSimulation_7",15,127,1000
"ParSimulation_7",16,164,1000
"ParSimulation_7",17,202,1000
"ParSimulation_7",18,249,1000
"ParSimulation_7",19,289,1000
"ParSimulation_7",20,332,1000
"ParSimulation_7",21,363,1000
"ParSimulation_7",22,401,1000
"ParSimulation_7",23,447,1000
"ParSimulation_7",24,485,1000
"ParSimulation_7",25,518,1000
"ParSimulation_7",26,554,1000
"ParSimulation_7",27,589,1000
"ParSimulation_7",28,616,1000
"ParSimulation_7",29,636,1000
"ParSimulation_7",30,659,1000
"ParSimulation_7",31,694,1000
"ParSimulation_7",32,717,1000
