"language","item.id","k_Mean","lambda_Mean","start_Mean","k_HDIlow","lambda_HDIlow","start_HDIlow","k_HDIhigh","lambda_HDIhigh","start_HDIhigh","category","item"
"Cantonese","item_1",2.135269061,0.113511896964,5.5916457849422,0.39081,0.0334991,0.000583641,3.91069,0.189657,13.1819,"sounds","S1BOM"
"Cantonese","item_10",6.197771134,0.20637275808,4.8995199459492,1.74578,0.0768458,0.000319316,10.2868,0.342395,11.6317,"sounds","S1SHEEP"
"Cantonese","item_100",10.08101701,0.44022205702,7.2298593176028,1.86775,0.145583,0.00378278,18.9343,0.724605,14.8669,"food_drink","E3TOFU"
"Cantonese","item_101",13.30724323,0.6194908726,6.783566479674,2.86025,0.25436,0.0147051,24.3998,0.975091,13.9981,"food_drink","E3PEANUT"
"Cantonese","item_102",6.411778796,0.24283011086,5.102486199566,1.88772,0.0964257,0.00831461,10.7516,0.386415,11.9974,"food_drink","E3FRUIT"
"Cantonese","item_103",13.553374922,0.8085868352,4.367942102332,4.26953,0.440982,0.00427986,22.3332,1.12513,10.313,"food_drink","E3ORANGE"
"Cantonese","item_104",10.064538656,0.5636532116,5.0405173013552,2.68644,0.28651,0.00176388,17.086,0.82235,11.6105,"food_drink","E3BANANA"
"Cantonese","item_105",10.83207555,0.5871682068,4.88120685889,2.73359,0.297275,0.00177239,17.8909,0.847425,11.294,"food_drink","E3APPLE"
"Cantonese","item_106",10.78915332,0.565980507,6.274238015996,2.34818,0.24969,0.00901906,19.2111,0.857709,13.1215,"food_drink","E3GRAPEC"
"Cantonese","item_107",11.124925042,0.5554703976,6.0759982160706,3.10619,0.259049,0.021374,19.8316,0.836407,12.606,"food_drink","E3WATMEL"
"Cantonese","item_108",10.140620848,0.39778045776,5.8845493682332,2.5537,0.141089,0.000567236,17.6577,0.627893,13.0899,"food_drink","E3PEAR"
"Cantonese","item_109",14.22542052,0.6011948202,6.047663178518,3.35095,0.239575,0.00807774,24.3563,0.91893,13.3081,"food_drink","E3MANGO"
"Cantonese","item_11",3.7884289552,0.14433245816,5.3767936649172,1.05739,0.0528248,0.000516964,6.64251,0.246005,12.5966,"sounds","S1DUCKC"
"Cantonese","item_110",12.539117336,0.8009953992,5.8645939102794,2.44025,0.369011,0.0073669,22.5961,1.16625,12.6046,"food_drink","E3CANDY"
"Cantonese","item_111",19.140114238,0.912178342,4.30159598158,6.94364,0.502709,0.0067838,30.1329,1.2697,10.4515,"food_drink","E3CHOCOC"
