"language","item.id","k_Mean","lambda_Mean","start_Mean","k_HDIlow","lambda_HDIlow","start_HDIlow","k_HDIhigh","lambda_HDIhigh","start_HDIhigh","category","item"
"Cantonese","item_1",3.086106628,0.17246315896,5.279884347544,0.24003,0.0207505,0.00443115,6.63996,0.364321,12.7012,"sounds","S1BOM"
"Cantonese","item_10",8.02137843,0.295154870216,4.8485673195226,1.20513,0.0208637,0.00061317,16.8905,0.640918,11.8434,"sounds","S1SHEEP"
"Cantonese","item_100",22.3738293892,1.02535444136,5.101721779298,3.61487,0.223112,0.00323594,44.9902,1.95527,12.6111,"food_drink","E3TOFU"
"Cantonese","item_101",28.732746736,1.3374810423,4.459306011902,5.76791,0.377187,0.00214984,54.8588,2.39221,11.2052,"food_drink","E3PEANUT"
"Cantonese","item_102",10.12098595,0.419995136348,4.4832608246924,1.47688,0.0821339,0.000848231,19.627,0.837237,11.0449,"food_drink","E3FRUIT"
"Cantonese","item_103",11.2589649178,0.66646106406,4.821117681802,1.33839,0.210055,0.00207115,21.1672,1.14937,11.7179,"food_drink","E3ORANGE"
"Cantonese","item_104",9.2394174534,0.50720784232,5.3074202443102,0.8904,0.105683,0.000360016,18.0932,0.899363,12.8724,"food_drink","E3BANANA"
"Cantonese","item_105",10.5358045748,0.55442766838,4.7123603098314,1.64721,0.156621,0.000279727,19.6839,0.959984,11.5199,"food_drink","E3APPLE"
"Cantonese","item_106",15.155675691,0.75691034692,4.8242173027186,1.83476,0.215834,0.00540724,28.5296,1.37199,11.9213,"food_drink","E3GRAPEC"
"Cantonese","item_107",17.819143956,0.85656012318,4.295818008562,3.04778,0.25463,0.00508512,31.8001,1.46681,10.5742,"food_drink","E3WATMEL"
"Cantonese","item_108",18.1884784658,0.76424024384,4.535171641882,2.72775,0.127562,0.00110073,35.702,1.47141,11.3931,"food_drink","E3PEAR"
"Cantonese","item_109",21.60278872,0.91316848066,4.654191251118,2.42908,0.147478,0.00135037,42.8212,1.79752,11.5338,"food_drink","E3MANGO"
"Cantonese","item_11",6.0053178852,0.256368790898,4.817802124374,0.87718,0.0332779,0.00310827,12.0038,0.513119,11.954,"sounds","S1DUCKC"
"Cantonese","item_110",17.584410404,1.0601398338,4.7037243116732,2.32525,0.399332,0.00144958,31.8109,1.73276,11.3431,"food_drink","E3CANDY"
"Cantonese","item_111",17.919713066,0.8582837001,4.8577542170402,2.15074,0.205815,0.000937792,34.0186,1.55242,11.9104,"food_drink","E3CHOCOC"
"Cantonese","item_112",14.313131709,0.76206056436,5.2560164728098,1.43041,0.182298,0.000522936,27.3404,1.33349,12.7442,"food_drink","E3ICECRC"
"Cantonese","item_113",19.983863264,0.91860638942,5.2902386706298,1.58219,0.0999959,0.000339289,39.4338,1.69763,13.2946,"food_drink","E3JELLYC"
"Cantonese","item_114",17.256782996,0.627112522052,4.46882757893,1.95431,0.0248011,0.00152155,37.3515,1.41614,11.2063,"food_drink","E3SOYSAC"
"Cantonese","item_115",18.550797154,0.77333465832,4.43462783393286,3.19011,0.136181,2.29543e-05,36.5461,1.50058,10.9529,"food_drink","E3SAUCE"
"Cantonese","item_116",18.970284752,0.70607340395,4.8729078336986,1.40087,0.00982654,0.000154543,42.7102,1.6607,11.9089,"food_drink","E3ONION"
"Cantonese","item_117",15.572847545,0.47702903543752,4.507804357384,1.04753,0.00172786,0.00105782,38.5334,1.3557,11.4042,"food_drink","E3GINGER"
"Cantonese","item_118",11.3111061498,0.70455711344,5.5644460960922,0.75971,0.157352,0.000223941,22.3079,1.22354,13.6678,"action_words","V4EATC"
"Cantonese","item_119",16.440883301,0.96933847148,5.145129199226,1.74126,0.27223,0.010939,30.8073,1.59319,12.6105,"action_words","V4DRINKC"
"Cantonese","item_12",5.3180591304,0.216609930298,4.781913010984,0.848763,0.0274279,0.00092062,10.913,0.455894,11.7033,"sounds","S1BIRDC"
"Cantonese","item_120",16.491941801,0.76176205402,4.94813166204768,1.72258,0.137509,1.21784e-05,31.5087,1.39668,12.1694,"action_words","V4FEED"
"Cantonese","item_121",7.7360794612,0.3840033089,5.014023913816,0.735698,0.0596054,0.00102401,15.1625,0.712029,12.5482,"action_words","V4BITE"
"Cantonese","item_122",16.76729936,0.592156748932,4.9593022347222,1.50499,0.00430391,0.000280991,38.4534,1.45269,12.4712,"action_words","V4CHEWC"
"Cantonese","item_123",7.4605755138,0.268644773066,5.068777017176,0.798137,0.00992678,0.00308172,15.7435,0.592555,12.4118,"action_words","V4SUCK"
"Cantonese","item_124",15.310374836,0.76732287424,5.008021627274,2.13194,0.198413,0.00128286,29.5731,1.36432,12.0773,"action_words","V4BLOW"
"Cantonese","item_125",25.93658329,1.21854408662,5.377033783696,2.4221,0.244041,0.00219081,51.2465,2.29551,12.9534,"action_words","V4SWALLC"
"Cantonese","item_126",7.4714078494,0.2892221640962,5.44371559273,0.566398,0.00326512,0.00151091,15.6748,0.61422,13.6567,"action_words","V4SPITC"
